id,longitude,latitude,from,to,label
1,-55.62271107124641,-11.95106799053373,2000-02-18,2016-06-25,NoClass
1,-55.61770477239559,-11.95686728050253,2000-02-18,2016-06-25,NoClass
1,-55.609001496963344,-11.944652358213308,2000-02-18,2016-06-25,NoClass
1,-55.60687757978357,-11.9528799995875,2000-02-18,2016-06-25,NoClass
1,-55.58209129364199,-11.890881205583879,2000-02-18,2016-06-25,NoClass
1,-55.575862333213806,-11.88055319967395,2000-02-18,2016-06-25,NoClass
1,-55.57458496709391,-11.870456416813791,2000-02-18,2016-06-25,NoClass
1,-55.63750348453396,-11.924146400133782,2000-02-18,2016-06-25,NoClass
1,-55.64034316034375,-11.931716820601553,2000-02-18,2016-06-25,NoClass
1,-56.431529427709016,-13.724082260714827,2000-02-18,2016-06-25,NoClass
